step,R,r,sigma,H_gas,mnemonic_drift,coh,mood,empathy,omega_cum,joy,calm,awe,stress,gamma,rho
63,0.999994,0.004449,0.795708,3.4644,0.141536,0.262899,0.7036,0.77302,0.639998,1.0,0.7793,0.0423,0.7819,1.0,0.98188
64,0.999998,0.002947,0.798323,3.4644,0.141538,0.321213,0.7083,0.77373,0.649998,1.0,0.7821,0.0381,0.7665,1.0,0.98161
65,0.999997,0.015002,0.800899,3.4642,0.141531,0.318138,0.7152,0.77444,0.659998,1.0,0.785,0.0437,0.7538,1.0,0.98152
66,0.999997,0.001419,0.803438,3.4646,0.141546,0.244405,0.7142,0.77504,0.669998,1.0,0.7877,0.0382,0.754,1.0,0.98254
67,0.999995,0.003189,0.80594,3.4646,0.141546,0.176122,0.7106,0.77493,0.679998,1.0,0.7905,0.0348,0.7645,1.0,0.98079
68,0.999994,0.002414,0.808406,3.4648,0.141556,0.138018,0.7055,0.77456,0.689998,1.0,0.7931,0.0314,0.7791,1.0,0.98117
69,0.999995,0.000718,0.810837,3.4645,0.141542,0.124119,0.7001,0.77419,0.699998,1.0,0.7958,0.0273,0.7937,1.0,0.98108
70,0.999994,0.004932,0.813233,3.4648,0.141555,0.13006,0.697,0.774,0.709998,1.0,0.7984,0.0269,0.8051,1.0,0.98185
71,0.999991,0.001931,0.815594,3.4647,0.141552,0.160736,0.6952,0.7739,0.719998,1.0,0.801,0.0243,0.8102,1.0,0.9825
72,0.999992,0.009138,0.817922,3.4644,0.141538,0.234539,0.6995,0.77396,0.729998,1.0,0.8035,0.0275,0.8035,1.0,0.98285
73,0.999996,0.006485,0.820216,3.4644,0.141539,0.377783,0.7096,0.77424,0.739998,1.0,0.806,0.0282,0.7763,1.0,0.9832
74,0.999993,0.004232,0.822478,3.4646,0.141547,0.490716,0.7231,0.77475,0.749998,1.0,0.8085,0.0272,0.7363,1.0,0.98397
75,0.99993,0.072205,0.824708,3.4636,0.141503,0.384055,0.7451,0.77525,0.759997,1.0,0.8109,0.0773,0.7182,1.0,0.97905
76,0.999974,0.005121,0.826907,3.4637,0.141511,0.251107,0.7421,0.77573,0.769997,1.0,0.8133,0.0695,0.7228,1.0,0.98129
77,0.99999,0.008361,0.829075,3.4643,0.141533,0.182875,0.7372,0.77523,0.779997,1.0,0.8157,0.0654,0.737,1.0,0.98163
78,0.999993,0.012863,0.831212,3.4643,0.141534,0.155575,0.7328,0.77493,0.789997,1.0,0.818,0.0652,0.7531,1.0,0.98189
79,0.999992,0.001304,0.833319,3.4647,0.141549,0.152688,0.7263,0.77451,0.799997,1.0,0.8203,0.0564,0.7672,1.0,0.98209
80,0.999987,0.0149,0.835397,3.4646,0.141547,0.165954,0.7247,0.7745,0.809996,1.0,0.8226,0.0591,0.7772,1.0,0.98073
81,0.999925,0.022184,0.837446,3.4643,0.141534,0.187716,0.7262,0.77448,0.819996,1.0,0.8248,0.0669,0.7825,1.0,0.98136
82,0.999983,0.095504,0.839467,3.4642,0.14153,0.202588,0.7453,0.77455,0.829996,1.0,0.827,0.1285,0.7848,1.0,0.98102
83,0.999993,0.01055,0.84146,3.464,0.141523,0.198034,0.7417,0.77469,0.839995,1.0,0.8292,0.1171,0.7873,1.0,0.98229
84,0.999974,0.002166,0.843425,3.4642,0.141532,0.182921,0.7361,0.77445,0.849995,1.0,0.8313,0.1012,0.7918,1.0,0.98274
85,0.999983,0.004387,0.845363,3.4643,0.141536,0.173619,0.7314,0.77388,0.859995,1.0,0.8334,0.0893,0.797,1.0,0.982
86,0.999985,0.003513,0.847274,3.4641,0.141526,0.181109,0.7276,0.77321,0.869995,1.0,0.8355,0.0785,0.8003,1.0,0.98248
87,0.999986,0.002943,0.84916,3.4645,0.141542,0.214057,0.7259,0.77241,0.879995,1.0,0.8376,0.069,0.7981,1.0,0.98324
88,0.999971,0.002543,0.851019,3.4648,0.141553,0.28313,0.7278,0.77168,0.889994,1.0,0.8396,0.0605,0.7859,1.0,0.98285
89,0.999974,0.002231,0.852853,3.4648,0.141556,0.37015,0.7334,0.77117,0.899994,1.0,0.8416,0.0531,0.7625,1.0,0.98146
90,0.999979,0.004015,0.854662,3.4647,0.14155,0.36682,0.7385,0.77095,0.909994,1.0,0.8435,0.0482,0.7431,1.0,0.9826
91,0.999956,0.00261,0.856447,3.4646,0.141547,0.265429,0.7379,0.77113,0.919994,1.0,0.8455,0.0429,0.7419,1.0,0.98163
92,0.999557,0.004121,0.858207,3.4647,0.141552,0.181929,0.7339,0.77159,0.929989,1.0,0.8474,0.0396,0.7533,1.0,0.98185
93,0.999953,0.003159,0.859944,3.4647,0.141551,0.139286,0.7283,0.7724,0.939989,1.0,0.8493,0.036,0.7694,1.0,0.98168
94,0.999975,0.000852,0.861657,3.4643,0.141533,0.123994,0.7223,0.77298,0.949988,1.0,0.8512,0.0312,0.7854,1.0,0.9819
95,0.999973,0.006327,0.863347,3.4642,0.14153,0.129153,0.7187,0.77345,0.959988,1.0,0.853,0.0313,0.7982,1.0,0.98129
96,0.999976,0.005448,0.865015,3.464,0.141522,0.157251,0.717,0.77377,0.969988,1.0,0.8548,0.0307,0.8049,1.0,0.98079
97,0.997794,0.003294,0.86666,3.4641,0.141525,0.220765,0.7181,0.77412,0.979966,1.0,0.8569,0.0286,0.8013,1.0,0.98134
98,0.999958,0.073632,0.868283,3.464,0.141524,0.332062,0.741,0.77458,0.989965,1.0,0.8586,0.0795,0.7813,1.0,0.98123
